period,total_value,differenced
2020-05-27,567410,44668.0
2020-05-28,548834,-18576.0
2020-05-29,449655,-99179.0
2020-05-30,410961,-38694.0
2020-05-31,391097,-19864.0
2020-06-01,454030,62933.0
2020-06-02,515055,61025.0
2020-06-03,615173,100118.0
2020-06-04,591151,-24022.0
2020-06-05,465156,-125995.0
2020-06-06,412190,-52966.0
2020-06-07,369106,-43084.0
2020-06-08,434054,64948.0
2020-06-09,521111,87057.0
2020-06-10,600155,79044.0
2020-06-11,588510,-11645.0
2020-06-12,490444,-98066.0
2020-06-13,426082,-64362.0
2020-06-14,416498,-9584.0
2020-06-15,486443,69945.0
2020-06-16,485123,-1320.0
2020-06-17,476081,-9042.0
2020-06-18,503124,27043.0
2020-06-19,506589,3465.0
2020-06-20,465239,-41350.0
2020-06-21,484717,19478.0
2020-06-22,562884,78167.0
2020-06-23,582598,19714.0
2020-06-24,580108,-2490.0
2020-06-25,576886,-3222.0
2020-06-26,568220,-8666.0
2020-06-27,557279,-10941.0
2020-06-28,474155,-83124.0
2020-06-29,481373,7218.0
2020-06-30,475231,-6142.0
2020-07-01,479589,4358.0
2020-07-02,485026,5437.0
2020-07-03,484574,-452.0
2020-07-04,483747,-827.0
2020-07-05,532160,48413.0
2020-07-06,602846,70686.0
2020-07-07,588038,-14808.0
2020-07-08,592768,4730.0
2020-07-09,598363,5595.0
2020-07-10,648463,50100.0
2020-07-11,659626,11163.0
2020-07-12,681381,21755.0
2020-07-13,690067,8686.0
2020-07-14,630446,-59621.0
2020-07-15,605875,-24571.0
2020-07-16,588477,-17398.0
2020-07-17,576509,-11968.0
2020-07-18,552561,-23948.0
2020-07-19,560440,7879.0
2020-07-20,604723,44283.0
2020-07-21,577553,-27170.0
2020-07-22,524547,-53006.0
2020-07-23,510923,-13624.0
2020-07-24,508872,-2051.0
2020-07-25,509134,262.0
2020-07-26,543854,34720.0
2020-07-27,656466,112612.0
2020-07-28,631440,-25026.0
2020-07-29,645184,13744.0
2020-07-30,668838,23654.0
2020-07-31,682604,13766.0
2020-08-01,631062,-51542.0
2020-08-02,596193,-34869.0
2020-08-03,663855,67662.0
2020-08-04,608464,-55391.0
2020-08-05,568472,-39992.0
2020-08-06,527876,-40596.0
2020-08-07,526037,-1839.0
2020-08-08,523320,-2717.0
2020-08-09,553094,29774.0
2020-08-10,614620,61526.0
2020-08-11,595617,-19003.0
2020-08-12,642482,46865.0
2020-08-13,697253,54771.0
2020-08-14,772401,75148.0
2020-08-15,772836,435.0
2020-08-16,763071,-9765.0
2020-08-17,823173,60102.0
2020-08-18,842156,18983.0
2020-08-19,807930,-34226.0
2020-08-20,753857,-54073.0
2020-08-21,712240,-41617.0
2020-08-22,707834,-4406.0
2020-08-23,692686,-15148.0
2020-08-24,810161,117475.0
2020-08-25,790572,-19589.0
2020-08-26,754649,-35923.0
2020-08-27,740838,-13811.0
2020-08-28,705984,-34854.0
2020-08-29,609054,-96930.0
2020-08-30,562412,-46642.0
2020-08-31,617232,54820.0
2020-09-01,618845,1613.0
2020-09-02,632116,13271.0
2020-09-03,714908,82792.0
2020-09-04,748504,33596.0
2020-09-05,756424,7920.0
2020-09-06,805835,49411.0
2020-09-07,738955,-66880.0
2020-09-08,655148,-83807.0
2020-09-09,589854,-65294.0
2020-09-10,533275,-56579.0
2020-09-11,535434,2159.0
2020-09-12,505750,-29684.0
2020-09-13,514651,8901.0
2020-09-14,590457,75806.0
2020-09-15,599679,9222.0
2020-09-16,627427,27748.0
2020-09-17,632092,4665.0
2020-09-18,621930,-10162.0
2020-09-19,569129,-52801.0
2020-09-20,526432,-42697.0
2020-09-21,584779,58347.0
2020-09-22,590759,5980.0
2020-09-23,597341,6582.0
2020-09-24,607301,9960.0
2020-09-25,563578,-43723.0
2020-09-26,516104,-47474.0
2020-09-27,526214,10110.0
2020-09-28,646541,120327.0
2020-09-29,657786,11245.0
2020-09-30,680428,22642.0
2020-10-01,690232,9804.0
2020-10-02,657114,-33118.0
2020-10-03,588823,-68291.0
2020-10-04,539551,-49272.0
2020-10-05,613412,73861.0
2020-10-06,598696,-14716.0
2020-10-07,583707,-14989.0
2020-10-08,510408,-73299.0
2020-10-09,531496,21088.0
2020-10-10,483642,-47854.0
2020-10-11,468075,-15567.0
2020-10-12,561240,93165.0
2020-10-13,591987,30747.0
2020-10-14,591606,-381.0
2020-10-15,633380,41774.0
2020-10-16,601325,-32055.0
2020-10-17,574012,-27313.0
2020-10-18,544001,-30011.0
2020-10-19,579388,35387.0
2020-10-20,577516,-1872.0
2020-10-21,553041,-24475.0
2020-10-22,552225,-816.0
2020-10-23,530154,-22071.0
2020-10-24,450888,-79266.0
2020-10-25,447664,-3224.0
2020-10-26,515016,67352.0
2020-10-27,503942,-11074.0
2020-10-28,504700,758.0
2020-10-29,502642,-2058.0
2020-10-30,478292,-24350.0
